
0.5625	    0.393843	
0.6875	    0.448806	
0.8125	    0.644407	
0.9375	     0.77459	
 1.062	    0.839298	
 1.188	    0.791443	
 1.312	    0.833111	
 1.438	    0.944268	
 1.562	     1.06119	
 1.688	     1.12616	
 1.812	     1.39803	
 1.938	     1.28108	
 2.062	     1.32326	
 2.188	     1.39096	
 2.312	     1.41497	
 2.438	     1.38342	
 2.562	     1.61181	
 2.688	     1.73165	
 2.812	     1.63724	
 2.938	     1.58884	
 3.062	     1.68462	
 3.188	     1.54225	
 3.312	     1.52438	
 3.438	     1.78887	
 3.562	     1.83487	
 3.688	     1.55451	
 3.812	      1.7602	
 3.938	     1.34994	
 4.062	     1.69324	
 4.188	     1.52314	
 4.312	     1.63303	
 4.438	     1.38678	
 4.562	      1.4789	
 4.688	     1.54233	
 4.812	     1.23008	
 4.938	     1.26408	
 5.062	     1.25671	
 5.188	     1.01847	
 5.312	    0.977697	
 5.438	    0.932152	
 5.562	    0.833378	
 5.688	     1.10153	
 5.812	    0.832294	
 5.938	    0.658585	
 6.062	    0.800504	
 6.188	    0.739638	
 6.312	    0.843154	
 6.438	    0.617651	
 6.562	    0.723007	
 6.688	    0.703762	
 6.812	    0.715558	
 6.938	    0.713524	
 7.062	    0.436681	
 7.188	     0.64568	
 7.312	     0.52536	
 7.438	    0.443628	
 7.562	    0.567868	
 7.688	    0.436656	
 7.812	    0.489201	
 7.938	    0.388054	
     9	      5.6807	
    11	     3.49702	
    13	     3.62969	
    15	     1.97796	
    17	      1.4374	
    19	    0.947525	
    21	     0.62854	
    23	    0.220588	
    25	    0.228933	
    27	    0.140221	
    29	    0.338081	
    31	           0	
    33	           0	
    35	           0	
    37	           0	
    39	           0	
    41	           0	
    43	           0	
    45	           0	
    47	           0	
    49	           0	
    51	           0	
    53	           0	
    55	           0	
    58	           0	
    62	           0	
----------------------
Total:	      83.537	
