Neutrino Energy [MeV],Nuel QEL CC,Numu QEL CC
750,0.363450689423119,0.572635760931201
1250,0.178864321800606,0.531341961233465
1750,0.123482823601523,0.41181992898916
2250,0.100683243358111,0.303417142366826
2750,0.094443185401017,0.229967091782059
3250,0.089193725316831,0.187746703818269
3750,0.085042630103759,0.173988896983345
4250,0.084767611073434,0.173927389051369
4750,0.086279005464279,0.184524214322516
