
0.6715	    0.664543	
 1.015	    0.430597	
 1.358	   0.0172659	
 1.701	    0.284295	
 2.044	     2.25499	
 2.387	     7.12741	
  2.73	      14.422	
 3.073	     22.8822	
 3.416	      31.771	
 3.759	     41.9155	
 4.102	     41.4249	
 4.445	     28.7163	
 4.788	     15.5716	
 5.131	     8.84151	
 5.474	     6.21641	
 5.817	     4.97714	
  6.16	     4.11264	
 6.503	     3.69496	
 6.846	     3.30955	
 7.189	     2.98776	
 7.532	     2.56409	
 7.875	     2.38669	
 8.218	     2.23593	
 8.561	     2.20825	
 8.904	     2.08844	
 9.247	     1.91738	
  9.59	     1.70207	
 9.933	     1.66747	
 10.28	     1.92089	
 10.62	     1.72237	
 10.96	     1.77624	
 11.31	     1.40971	
 11.65	     1.45212	
 11.99	     1.73606	
 12.33	     1.53348	
 12.68	     1.45203	
 13.02	     1.54591	
 13.36	     1.41004	
 13.71	     1.55033	
 14.05	     1.70108	
 14.39	     1.56153	
 14.74	     1.30769	
 15.08	     1.23095	
 15.42	     1.48237	
 15.76	     1.39862	
 16.11	     1.26829	
 16.45	     1.47447	
 16.79	     1.41263	
 17.14	     1.51802	
 17.48	      1.5364	
 17.82	     1.25602	
 18.17	     1.57869	
 18.51	     1.22218	
 18.85	     1.53171	
 19.19	     1.41342	
 19.54	     1.17649	
 19.88	     1.17438	
 20.22	      1.1485	
 20.57	      1.1292	
 20.91	     1.25485	
 21.25	     1.39645	
  21.6	     1.17776	
 21.94	     1.27889	
 22.28	     1.24976	
 22.63	    0.985884	
 22.97	    0.962655	
 23.31	    0.827404	
 23.65	    0.787364	
    24	    0.773199	
 24.34	    0.751988	
 24.68	    0.871978	
 25.03	    0.718535	
 25.37	    0.705885	
 25.71	    0.676773	
 26.06	    0.683786	
  26.4	     0.58489	
 26.74	    0.521832	
 27.08	    0.496718	
 27.43	     0.52375	
 27.77	    0.536943	
 28.11	    0.545217	
 28.46	    0.472602	
  28.8	    0.384866	
 29.14	    0.363309	
 29.49	    0.431607	
 29.83	     0.48129	
----------------------
Total:	     323.871	
