8.75 9.06516e-11 2.36135e-09 0 1.85269e-11 3.24394e-10 0
8.875 8.32103e-11 2.199e-09 0 1.43633e-11 2.61314e-10 0
9 7.68783e-11 2.23145e-09 0 1.47481e-11 3.13878e-10 0
9.125 8.66875e-11 2.17259e-09 0 1.6241e-11 2.66063e-10 0
9.25 8.05862e-11 2.13943e-09 0 1.49903e-11 2.59647e-10 0
9.375 7.81704e-11 2.08192e-09 0 1.63745e-11 2.69829e-10 0
9.5 6.94086e-11 2.0004e-09 0 1.53786e-11 2.80057e-10 0
9.625 6.86317e-11 1.84813e-09 0 1.55595e-11 2.66066e-10 0
9.75 6.69377e-11 1.85246e-09 0 1.66512e-11 2.4172e-10 0
9.875 7.54256e-11 1.78134e-09 0 1.30906e-11 2.23855e-10 0
10 6.72143e-11 1.75121e-09 0 1.27557e-11 2.48755e-10 0
10.125 6.15027e-11 1.82086e-09 0 1.24681e-11 2.38549e-10 0
10.25 7.11843e-11 1.65701e-09 0 1.27491e-11 1.9222e-10 0
10.375 5.9027e-11 1.54782e-09 0 1.50261e-11 2.60938e-10 0
10.5 6.3954e-11 1.49837e-09 0 1.1964e-11 2.0568e-10 0
10.625 6.26199e-11 1.53682e-09 0 1.23988e-11 1.95942e-10 0
10.75 6.37725e-11 1.52408e-09 0 1.16074e-11 1.85321e-10 0
10.875 5.68344e-11 1.53557e-09 0 1.16157e-11 2.04489e-10 0
11 5.61839e-11 1.40496e-09 0 1.22169e-11 2.02364e-10 0
11.125 6.12801e-11 1.4657e-09 0 1.13362e-11 1.79076e-10 0
11.25 5.25872e-11 1.37421e-09 0 1.14185e-11 1.94482e-10 0
11.375 5.36149e-11 1.31735e-09 0 1.17759e-11 1.7649e-10 0
11.5 4.89369e-11 1.3113e-09 0 1.22648e-11 1.7307e-10 0
11.625 4.77239e-11 1.29616e-09 0 1.36424e-11 1.37538e-10 0
11.75 5.22485e-11 1.20786e-09 0 9.63636e-12 1.82914e-10 0
11.875 4.53512e-11 1.18731e-09 0 9.70706e-12 1.42045e-10 0
12 5.22221e-11 1.20774e-09 0 1.05692e-11 1.2528e-10 0
12.125 5.05327e-11 1.21795e-09 0 1.11764e-11 1.43337e-10 0
